,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
25,25,Canada,27063,0,903,0,8235,17925,557,717.0,24.0,450717,11942,America,27046,903,18510,12,18,7,10,35,30,04-16-2020
26,26,Chad,23,0,0,0,2,21,0,1.0,0.0,0,0,Africa,23,0,16,161,175,177,175,161,178,04-16-2020
27,27,Chile,7917,0,92,0,2646,5179,387,414.0,5.0,87794,4593,America,7917,92,5179,32,1,33,44,23,33,04-16-2020
28,28,Colombia,2979,0,127,0,354,2498,106,59.0,2.0,45423,893,America,2979,127,2073,74,44,41,49,51,22,04-16-2020
29,29,Congo,74,0,5,0,10,59,0,13.0,0.9,0,0,Africa,74,5,52,150,142,155,122,167,166,04-16-2020
30,30,Croatia,1741,37,34,3,473,1234,31,424.0,8.0,19256,4691,Europe,1704,31,837,38,33,36,56,57,43,04-16-2020
31,31,Cuba,766,0,21,0,132,613,9,68.0,2.0,18634,1645,America,766,21,580,33,41,40,118,36,39,04-16-2020
32,32,Cyprus,695,0,12,0,65,618,8,576.0,10.0,17923,14845,Europe,695,17,433,25,31,28,39,22,24,04-16-2020
33,33,Denmark,6681,170,309,10,2748,3624,89,1153.0,53.0,77712,13417,Europe,6511,299,3651,28,21,20,8,65,34,04-16-2020
34,34,Djibouti,363,0,2,0,53,308,0,367.0,2.0,5356,5421,Africa,363,2,332,166,169,170,163,163,157,04-16-2020
35,35,Dominica,16,0,0,0,8,8,0,222.0,0.0,345,4793,America,16,0,5,26,35,42,70,59,35,04-16-2020
