,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
145,NorthMacedonia,1506,12,82,1,852,572,21,723,39,16997,8158
146,Norway,7809,26,211,1,32,7566,37,1440,39,172586,31835
147,Oman,2483,36,12,1,750,1721,17,486,2,40459,7923
148,Pakistan,19022,930,437,20,4753,13832,111,86,2,193859,878
149,Palestine,353,0,2,0,76,275,0,69,0.4,32200,6312
150,Panama,6720,188,192,4,622,5906,85,1557,44,31895,7392
151,PapuaNewGuinea,8,0,0,0,0,8,0,0.9,0,604,68
152,Paraguay,333,67,10,0,115,208,5,47,1,10342,1450
153,Peru,42534,2075,1200,76,12434,28900,671,1290,36,355604,10785
154,Philippines,8928,156,603,24,1124,7201,31,81,6,115012,1050
155,Poland,13375,270,664,13,3762,8949,160,353,18,366013,9671
156,Portugal,25190,203,1023,16,1671,22496,150,2470,100,426836,41860
157,Qatar,14872,776,12,0,1534,13326,72,5162,4,101728,35309
158,Romania,12732,165,771,27,4547,7414,265,662,40,190540,9905
159,Russia,124054,9623,1222,53,15013,107819,2300,850,8,3945518,27036
160,Rwanda,255,6,0,0,120,135,0,20,0,33303,2571
161,Réunion,423,1,0,0,300,123,2,472,0,0,0
162,S.Korea,10780,6,250,2,9123,1407,55,210,5,623069,12153
163,SaintKittsandNevis,15,0,0,0,8,7,0,282,0,294,5526
164,SaintLucia,17,0,0,0,15,2,0,93,0,446,2429
165,SaintMartin,38,0,3,0,27,8,3,983,78,0,0
