,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
31,Burundi,5,0,1 ,0,4,0,0,0.4,0.08,80,7
32,CAR,12,0, ,0,4,8,0,2,0,0,0
33,Cabo Verde,67,+6,1 ,0,1,65,0,121,2,0,0
34,Cambodia,122,0, ,0,107,15,1,7,0,"5,768",345
35,Cameroon,"1,017",0,42 ,0,305,670,33,38,2,0,0
36,Canada,"36,670","+1,614","1,680 ",+93,"12,197","22,793",557,972,45,"549,349","14,555"
37,Caribbean Netherlands,5,0, ,0,0,5,0,191,0,110,"4,195"
38,Cayman Islands,61,0,1 ,0,7,53,3,928,15,702,"10,681"
39,Chad,33,0, ,0,8,25,0,2,0,0,0
40,Channel Islands,488,0,24 ,+3,73,391,0,"2,807",138,"3,320","19,095"
41,Chile,"10,507",+419,139 ,+6,"4,676","5,692",377,550,7,"118,827","6,216"
42,China,"82,747",+12,"4,632 ",0,"77,084","1,031",81,57,3,0,0
43,Colombia,"3,792",0,179 ,0,711,"2,902",98,75,4,"62,746","1,233"
44,Congo,160,+17,6 ,0,16,138,0,29,1,0,0
45,Costa Rica,662,+2,6 ,+1,124,532,8,130,1,"10,879","2,136"
46,Croatia,"1,881",+10,47 ,0,771,"1,063",18,458,11,"26,610","6,482"
47,Cuba,"1,087",+52,36 ,+2,285,766,9,96,3,"28,598","2,525"
48,Curaçao,14,0,1 ,0,11,2,0,85,6,286,"1,743"
49,Cyprus,772,+5,12 ,0,81,679,15,639,10,"34,087","28,233"
50,Czechia,"6,838",+92,194 ,+8,"1,559","5,085",84,639,18,"172,123","16,073"
51,DRC,332,+5,25 ,0,27,280,0,4,0.3,0,0
52,Denmark,"7,515",+131,364 ,+9,"4,312","2,839",84,"1,297",63,"96,244","16,616"
53,Diamond Princess,712,0,13 ,0,644,55,7,0,0,0,0
54,Djibouti,846,0,2 ,0,102,742,0,856,2,"8,144","8,243"
55,Dominica,16,0, ,0,8,8,0,222,0,345,"4,793"
56,Dominican Republic,"4,964",+284,235 ,+9,416,"4,313",128,458,22,"57,809","5,329"
57,Ecuador,"10,128",+660,507 ,+33,"1,150","8,471",124,574,29,"32,453","1,839"
58,Egypt,"3,333",+189,250 ,+11,821,"2,262",0,33,2,"55,000",537
59,El Salvador,218,+17,7 ,0,46,165,2,34,1,"12,210","1,882"
60,Equatorial Guinea,79,0, ,0,7,72,0,56,0,854,609
61,Eritrea,39,0, ,0,3,36,0,11,0,0,0
62,Estonia,"1,535",+7,40 ,0,165,"1,330",9,"1,157",30,"40,930","30,855"
63,Eswatini,24,+2,1 ,0,8,15,0,21,0.9,714,615
64,Ethiopia,111,+3,3 ,0,16,92,1,1.0,0.03,"7,953",69
65,Faeroe Islands,185,0, ,0,176,9,0,"3,786",0,"6,021","123,222"
66,Falkland Islands,11,0, ,0,3,8,0,"3,161",0,319,"91,667"
67,Fiji,18,+1, ,0,3,15,0,20,0,0,0
68,Finland,"3,868",+85,98 ,+4,"2,000","1,770",67,698,18,"59,200","10,685"
69,France,"155,383","+2,489","20,265 ",+547,"37,409","97,709","5,683","2,380",310,"463,662","7,103"
70,French Guiana,97,+1,1 ,+1,69,27,2,325,3,0,0
71,French Polynesia,55,0, ,0,2,53,1,196,0,"1,302","4,635"
72,Gabon,109,0,1 ,0,7,101,0,49,0.4,572,257
73,Gambia,10,0,1 ,0,2,7,0,4,0.4,316,131
74,Georgia,402,+8,4 ,0,95,303,6,101,1,"7,611","1,908"
75,Germany,"146,653",+911,"4,706 ",+64,"91,500","50,447","2,889","1,750",56,"1,728,357","20,629"
76,Ghana,"1,042",0,9 ,0,99,934,4,34,0.3,"68,591","2,207"
77,Gibraltar,132,0, ,0,120,12,1,"3,918",0,"1,912","56,751"
78,Greece,"2,245",+10,116 ,+3,269,"1,860",61,215,11,"54,344","5,214"
79,Greenland,11,0, ,0,11,0,0,194,0,"1,043","18,372"
80,Grenada,14,0, ,0,6,8,4,124,0,92,818
81,Guadeloupe,148,0,8 ,0,73,67,13,370,20,0,0
